sr_no,name,unit_no,company,sector,age_yr,gcv_kcal_per_kg,gcv_range,fuel,capacity_mw,ef_t_per_mwh,plf_pct,shr_kcal_per_kwh,efficiency_pct,aux_pct,net_gen_gwh,co2_mt,coal_grade,coal_source,fuel_price_rs_per_gcal,vc_fuel_rs_per_kwh,variable_cost_rs_per_kwh,grid_region,ecr_rs_per_kwh,variable_cost_final,vc_source
382.0,Melamaruthur (Muthiara),1.0,Coastal Energen,Private,9.7,4158.0,"(4000, 4500)",Coal,600.0,1.18,2.3,3263.9,26.3,18.4,122.6,0.14,G11,imported,1700.0,5.54863,5.74863,Unallocated,,5.74863,modelled
146.0,Barauni,3.0,BSEB,State,41.3,3484.5,"(3000, 3500)",Coal,105.0,0.98,4.3,2583.1,33.3,9.6,39.7,0.04,G13,domestic,952.0,2.4591112,2.6591112000000003,ER,,2.6591112000000003,modelled
451.0,Durgapur,2.0,DVC,Centre,42.7,2865.0,"(2000, 3000)",Coal,210.0,1.58,5.9,4145.3,20.7,19.0,109.4,0.17,G15,domestic,1020.0,4.228206,4.428206,ER,,4.428206,modelled
439.0,Ghtp (Leh.Moh.),2.0,PSEB,State,25.8,4206.0,"(4000, 4500)",Coal,210.0,1.37,6.4,3600.1,23.9,18.1,118.0,0.16,G11,domestic,892.5,3.21308925,3.41308925,NR,,3.41308925,modelled
4.0,Mundra TPP,2.0,Adani Power Ltd,Private,14.4,4089.0,"(4000, 4500)",Coal,330.0,0.87,10.3,2427.4,35.4,8.5,298.4,0.26,G11,imported,1700.0,4.12658,4.32658,Unallocated,,4.32658,modelled
83.0,Itpcl TPP,2.0,IL&FS TN Power Corp Ltd,Private,8.3,3965.0,"(3500, 4000)",Coal,600.0,0.96,10.8,2691.6,31.9,10.1,567.5,0.55,G12,imported,1700.0,4.57572,4.77572,Unallocated,,4.77572,modelled
296.0,Raichur,1.0,KPCL,State,39.4,3213.0,"(3000, 3500)",Coal,210.0,1.07,11.4,2815.6,30.5,11.3,209.8,0.23,G14,domestic,986.0,2.7761816,2.9761816,SR,,2.9761816,modelled
35.0,Udupi TPP,2.0,Upcl,Private,13.3,5142.0,"(5000, 6000)",Coal,600.0,0.94,11.6,2628.4,32.7,10.0,611.7,0.57,G8,imported,1700.0,4.46828,4.66828,SR,,4.66828,modelled
5.0,Mundra TPP,1.0,Adani Power Ltd,Private,15.0,4089.0,"(4000, 4500)",Coal,330.0,0.87,12.5,2426.6,35.4,8.5,361.0,0.31,G11,imported,1700.0,4.12522,4.32522,Unallocated,,4.32522,modelled
37.0,Udupi TPP,1.0,Upcl,Private,14.0,5131.0,"(5000, 6000)",Coal,600.0,0.94,12.5,2633.5,32.6,10.1,657.8,0.62,G8,imported,1700.0,4.47695,4.676950000000001,SR,,4.676950000000001,modelled
340.0,Binjkote,1.0,Sks Power Generation,Private,6.4,3199.0,"(3000, 3500)",Coal,300.0,1.11,13.7,2915.2,29.5,12.6,360.5,0.4,G14,domestic,986.0,2.8743872,3.0743872,Unallocated,,3.0743872,modelled
24.0,Salaya TPP,1.0,Essar Energy Ltd,Private,12.5,5291.0,"(5000, 6000)",Coal,600.0,0.93,15.4,2603.3,33.0,7.0,807.2,0.75,G7,imported,1700.0,4.42561,4.62561,Unallocated,,4.62561,modelled
434.0,Niwari TPP,1.0,BLA Power Ltd,Private,10.7,2760.0,"(2000, 3000)",Coal,45.0,1.31,15.5,3456.9,24.9,12.8,60.9,0.08,G16,domestic,1062.5,3.67295625,3.87295625,Unallocated,,3.87295625,modelled
